data,label
"[2013, 23, 5, 13, 3]",0
"[2013, 23, 5, 14, 2]",10
"[2013, 23, 5, 15, 3]",9
"[2013, 23, 5, 16, 2]",9
"[2013, 23, 5, 17, 4]",19
"[2013, 23, 5, 18, 2]",18
"[2013, 23, 5, 19, 4]",30
"[2013, 23, 5, 20, 2]",15
"[2013, 23, 5, 21, 2]",2
"[2013, 23, 5, 22, 4]",3
"[2013, 23, 5, 23, 3]",1
"[2013, 23, 6, 0, 2]",0
"[2013, 23, 6, 1, 2]",1
"[2013, 23, 6, 2, 2]",1
"[2013, 23, 6, 3, 4]",0
"[2013, 23, 6, 4, 3]",0
"[2013, 23, 6, 5, 2]",0
"[2013, 23, 6, 6, 2]",0
"[2013, 23, 6, 7, 4]",0
"[2013, 23, 6, 8, 5]",4
"[2013, 23, 6, 9, 5]",2
"[2013, 23, 6, 10, 2]",2
"[2013, 23, 6, 11, 5]",2
"[2013, 23, 6, 12, 5]",2
"[2013, 23, 6, 13, 5]",7
"[2013, 23, 6, 14, 5]",3
"[2013, 23, 6, 15, 5]",6
"[2013, 23, 6, 16, 5]",5
"[2013, 23, 6, 17, 5]",7
"[2013, 23, 6, 18, 5]",8
"[2013, 23, 6, 19, 5]",4
"[2013, 23, 6, 20, 5]",2
"[2013, 23, 6, 21, 5]",1
"[2013, 23, 6, 22, 5]",8
"[2013, 23, 6, 23, 5]",5
"[2013, 24, 0, 0, 5]",2
"[2013, 24, 0, 1, 5]",2
"[2013, 24, 0, 2, 5]",0
"[2013, 24, 0, 3, 5]",0
"[2013, 24, 0, 4, 5]",0
"[2013, 24, 0, 5, 5]",0
"[2013, 24, 0, 6, 5]",0
"[2013, 24, 0, 7, 5]",0
"[2013, 24, 0, 8, 5]",3
"[2013, 24, 0, 9, 5]",3
"[2013, 24, 0, 10, 5]",2
"[2013, 24, 0, 11, 5]",0
"[2013, 24, 0, 12, 5]",4
"[2013, 24, 0, 13, 1]",3
"[2013, 24, 0, 14, 5]",3
"[2013, 24, 0, 15, 5]",3
"[2013, 24, 0, 16, 5]",14
"[2013, 24, 0, 17, 5]",10
"[2013, 24, 0, 18, 5]",13
"[2013, 24, 0, 19, 5]",6
"[2013, 24, 0, 20, 5]",7
"[2013, 24, 0, 21, 5]",8
"[2013, 24, 0, 22, 5]",7
"[2013, 24, 0, 23, 5]",0
"[2013, 24, 1, 0, 5]",0
"[2013, 24, 1, 1, 5]",0
"[2013, 24, 1, 2, 5]",0
"[2013, 24, 1, 3, 5]",0
"[2013, 24, 1, 4, 5]",0
"[2013, 24, 1, 5, 5]",0
"[2013, 24, 1, 6, 5]",1
"[2013, 24, 1, 7, 5]",13
"[2013, 24, 1, 8, 5]",25
"[2013, 24, 1, 9, 5]",22
"[2013, 24, 1, 10, 5]",9
"[2013, 24, 1, 11, 5]",0
"[2013, 24, 1, 12, 5]",8
"[2013, 24, 1, 13, 1]",2
"[2013, 24, 1, 14, 5]",2
"[2013, 24, 1, 15, 5]",1
"[2013, 24, 1, 16, 5]",8
"[2013, 24, 1, 17, 5]",22
"[2013, 24, 1, 18, 5]",40
"[2013, 24, 1, 19, 5]",26
"[2013, 24, 1, 20, 5]",9
"[2013, 24, 1, 21, 5]",2
"[2013, 24, 1, 22, 5]",2
"[2013, 24, 1, 23, 5]",0
"[2013, 24, 2, 0, 5]",0
"[2013, 24, 2, 1, 5]",0
"[2013, 24, 2, 2, 5]",0
"[2013, 24, 2, 3, 5]",0
"[2013, 24, 2, 4, 5]",0
